  1 0.866 0.033 0.858 0.583 0.048 0.597 0.200 0.052 0.310 0.089 0.031 0.201
  2 0.134 0.032 0.131 0.369 0.045 0.306 0.537 0.053 0.342 0.385 0.034 0.279
  3 0.000 0.009 0.010 0.010 0.027 0.080 0.087 0.046 0.211 0.201 0.032 0.229
  4 0.000 0.002 0.001 0.029 0.012 0.014 0.113 0.031 0.084 0.183 0.025 0.120
  5 0.000 0.000 0.000 0.010 0.005 0.002 0.062 0.025 0.053 0.142 0.029 0.171
